car_id,name,km_driven,transmission,owner,mileage,engine,max_power,torque
Car ID1812,Maruti Alto LX,70000,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1813,Maruti Swift Dzire LDi,77000,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm
Car ID1814,Chevrolet Spark 1.0 LT,110000,Manual,Second Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm
Car ID1815,Maruti Wagon R VXI Optional,20000,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
Car ID1816,Mahindra Jeep MM 540,90000,Manual,Third Owner,,,,
Car ID1817,Mercedes-Benz E-Class E270 CDI,120005,Automatic,Second Owner,11.0 kmpl,2987 CC,198.5 bhp,"46.5@ 1,400-2,800(kgm@ rpm)"
Car ID1818,Maruti Alto K10 Knightracer,16830,Manual,First Owner,20.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm
Car ID1819,Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,70000,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm
Car ID1820,Renault KWID 1.0 RXT 02 Anniversary Edition,38000,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm
Car ID1821,Mahindra Bolero 2011-2019 DI NON AC BS III White,80000,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm
Car ID1822,Toyota Fortuner 2.8 4WD MT BSIV,50000,Manual,First Owner,14.24 kmpl,2755 CC,174.5 bhp,420Nm@ 1400-2600rpm
Car ID1823,Tata Indica V2 DLE BSIII,50000,Manual,First Owner,17.88 kmpl,1396 CC,52.8 bhp,85Nm@ 2500rpm
Car ID1824,Mahindra Quanto C2,52000,Manual,First Owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm
Car ID1825,Tata Indigo V BSIII,50000,Manual,First Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)"
Car ID1826,Hyundai EON Magna Plus,30000,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm
Car ID1827,Mahindra Bolero 2011-2019 SLE BSIII,103000,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm
Car ID1828,Ford Endeavour 3.0L 4X4 AT,93468,Automatic,Second Owner,11.4 kmpl,2953 CC,153.86 bhp,380Nm@ 2500rpm
Car ID1829,Volvo XC40 D4 Inscription BSIV,20000,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm
Car ID1830,Volkswagen Jetta 1.6 Trendline,80000,Manual,Second Owner,14.0 kmpl,1595 CC,102 bhp,"15@ 3,800(kgm@ rpm)"
Car ID1831,Ford Endeavour 3.2 Titanium AT 4X4,12000,Automatic,First Owner,10.91 kmpl,3198 CC,197 bhp,470Nm@ 1750-2500rpm
Car ID1832,Tata Indigo eCS VX BSIV,70000,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm
Car ID1833,Honda Amaze V Petrol BSIV,4500,Manual,First Owner,19.5 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm
Car ID1834,Tata Indigo CS eLX BS IV,35000,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm
Car ID1835,Toyota Fortuner 2.8 4WD AT BSIV,60000,Automatic,First Owner,15.04 kmpl,2755 CC,174.5 bhp,450Nm@ 1600-2400rpm
Car ID1836,Mahindra XUV500 W10 1.99 mHawk,30000,Manual,First Owner,16.0 kmpl,1997 CC,140 bhp,320Nm@ 1600-2800rpm
Car ID1837,Ford Figo 1.5P Titanium AT,40000,Automatic,First Owner,17.01 kmpl,1499 CC,110.4 bhp,136Nm@ 4250rpm
Car ID1838,Tata Manza ELAN Quadrajet BS III,70000,Manual,First Owner,19.0 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm
Car ID1839,Tata Manza Aura (ABS) Quadrajet BS IV,120000,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm
Car ID1840,Mahindra Scorpio VLX 2WD BSIII,120000,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm
Car ID1841,Tata Indigo CS eLS BS IV,90000,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm
Car ID1842,Tata Indigo eCS LX BSIV,35000,Manual,Second Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm
Car ID1843,Maruti Omni E MPI STD BS IV,30000,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm
Car ID1844,Hyundai Creta 1.4 CRDi S,70000,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm
Car ID1845,Tata Manza Club Class Quadrajet90 LX,60000,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm
Car ID1846,Tata Indigo eCS VX BSIV,70000,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm
Car ID1847,Hyundai i20 1.2 Asta,6000,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm
Car ID1848,Maruti Swift VXI Optional,20000,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
Car ID1849,Tata Indigo CS LX (TDI) BS-III,70000,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm
Car ID1850,Honda City i VTEC VX,65000,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm
Car ID1851,Tata Tiago 1.2 Revotron XZ,25000,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm
Car ID1852,Maruti Eeco 5 Seater AC BSIV,10000,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm
Car ID1853,Maruti 800 Std MPFi,35000,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm
Car ID1854,Nissan Teana XL,80000,Automatic,Second Owner,11.07 kmpl,2496 CC,179.5 bhp,228Nm@ 4400rpm
Car ID1855,Chevrolet Beat LT,63000,Manual,First Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm
Car ID1856,Tata Indica V2 DLS TC,100000,Manual,First Owner,16.8 kmpl,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)"
Car ID1857,Honda Amaze S i-VTEC,1303,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm
Car ID1858,Audi Q5 35TDI Premium Plus,31800,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm
Car ID1859,Lexus ES 300h,20000,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm
Car ID1860,Jaguar XF 2.0 Diesel Portfolio,45000,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm
Car ID1861,Jeep Wrangler 2016-2019 3.6 4X4,17000,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm
Car ID1862,Toyota Yaris V BSIV,4295,Manual,First Owner,17.1 kmpl,1496 CC,105.5 bhp,140Nm@ 4200rpm
Car ID1863,Toyota Yaris V BSIV,5229,Manual,First Owner,17.1 kmpl,1496 CC,105.5 bhp,140Nm@ 4200rpm
Car ID1864,Toyota Camry 2.5 Hybrid,68089,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm
Car ID1865,Maruti Ciaz 1.3 Alpha,23712,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
Car ID1866,Honda Jazz VX,56494,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm
Car ID1867,Maruti Wagon R VXI BS IV,16589,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
Car ID1868,Toyota Innova 2.5 VX (Diesel) 7 Seater,79328,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm
Car ID1869,Honda City i VTEC V,53201,Manual,Second Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm
Car ID1870,Maruti Baleno Delta,25272,Manual,First Owner,21.01 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
Car ID1871,Maruti Vitara Brezza ZDi Plus,53619,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
Car ID1872,BMW X4 M Sport X xDrive20d,7500,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm
Car ID1873,BMW X4 M Sport X xDrive20d,8500,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm
Car ID1874,Honda Amaze V CVT Petrol BSIV,7032,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm
Car ID1875,Ford Ecosport 1.5 Petrol Ambiente,6001,Manual,First Owner,15.9 kmpl,1496 CC,120.69 bhp,149Nm@ 4500rpm
Car ID1876,Tata Indigo CS LS (TDI) BS-III,80000,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm
Car ID1877,Renault Duster 110PS Diesel RxZ,12000,Manual,First Owner,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm
Car ID1878,Ford EcoSport 1.5 Petrol Titanium BSIV,25000,Manual,First Owner,17.0 kmpl,1497 CC,121.31 bhp,150Nm@ 4500rpm
Car ID1879,Hyundai i20 2015-2017 Asta Option 1.4 CRDi,40000,Manual,Second Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm
Car ID1880,Maruti Swift Ldi BSIV,130000,Manual,Third Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm
Car ID1881,Skoda Yeti Ambition 4WD,202000,Manual,First Owner,17.67 kmpl,1968 CC,138.08 bhp,320Nm@ 1750-2500rpm
Car ID1882,Maruti Ciaz S 1.3,40000,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
Car ID1883,Maruti Zen LX,70000,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm
Car ID1884,Honda City 2017-2020 GXi,120000,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)"
Car ID1885,Maruti Swift Dzire VDI,60000,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
Car ID1886,Maruti Zen Estilo LXI BS IV,60000,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm
Car ID1887,Maruti Alto LXI,60000,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1888,Maruti Baleno Delta 1.3,78000,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
Car ID1889,Renault Duster 85PS Diesel RxL Optional,80000,Manual,Second Owner,20.46 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm
Car ID1890,Maruti Alto LXi,120000,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1891,Maruti 800 Std MPFi,90000,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm
Car ID1892,Maruti Alto LX,100000,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1893,Maruti Alto Std,70000,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1894,Hyundai Accent VIVA CRDi,160000,Manual,Third Owner,13.1 kmpl,1493 CC,82 bhp,187Nm@ 2500rpm
Car ID1895,Mahindra Scorpio 2.6 CRDe,120000,Manual,Third Owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm
Car ID1896,Hyundai Accent CRDi,100000,Manual,Third Owner,13.1 kmpl,1493 CC,82 bhp,187Nm@ 2500rpm
Car ID1897,Maruti Ertiga VDI,60000,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm
Car ID1898,Chevrolet Cruze LTZ,135000,Manual,Third Owner,18.3 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm
Car ID1899,Maruti Swift VXI Optional,90000,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
Car ID1900,Volkswagen Polo Diesel Highline 1.2L,75000,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm
Car ID1901,Toyota Innova 2.5 E Diesel MS 7-seater,185000,Manual,Second Owner,11.4 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm
Car ID1902,Nissan Micra XV CVT,71717,Automatic,Second Owner,19.34 kmpl,1198 CC,76 bhp,104Nm@ 4400rpm
Car ID1903,Mahindra Scorpio VLX 2WD ABS AT BSIII,150000,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm
Car ID1904,Maruti Swift Dzire VDI,55000,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
Car ID1905,Ford Fiesta Classic 1.6 Duratec LXI,90000,Manual,Second Owner,15.3 kmpl,1596 CC,99.6 bhp,146Nm@ 3400rpm
Car ID1906,Renault KWID 1.0 RXT Optional,35000,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm
Car ID1907,Toyota Fortuner 4x4 MT,120000,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm
Car ID1908,Hyundai Santro Xing GLS LPG,100000,Manual,Second Owner,13.45 km/kg,1086 CC,62.1 bhp,96.1Nm@ 3000rpm
Car ID1909,Honda Civic 1.8 V AT,40000,Automatic,Third Owner,12.9 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm
Car ID1910,Mahindra Xylo D2,100000,Manual,First Owner,13.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm
Car ID1911,Tata Safari Storme LX,120000,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm
Car ID1912,Maruti Zen Estilo VXI BSIV,60000,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm
Car ID1913,Mahindra Bolero Power Plus Plus AC BSIV PS,2000,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm
Car ID1914,Mahindra Scorpio EX,100000,Manual,First Owner,14.0 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm
Car ID1915,Mahindra Xylo D2 BS III,110000,Manual,First Owner,14.95 kmpl,2489 CC,93.7 bhp,218Nm@ 1400-2600rpm
Car ID1916,Tata New Safari Dicor VX 4X2 BS IV,90000,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm
Car ID1917,Tata Indigo CR4,84321,Manual,First Owner,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800-3000rpm
Car ID1918,Mahindra XUV500 W8 AWD,177000,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm
Car ID1919,Tata Indica Vista Aqua 1.3 Quadrajet,60000,Manual,First Owner,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750  rpm 
Car ID1920,Tata Indigo CS LE (TDI) BS-III,205000,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm
Car ID1921,Hyundai i10 Asta,70000,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm
Car ID1922,Maruti Omni E 8 Str STD,70000,Manual,Third Owner,,,,
Car ID1923,Renault Duster 110PS Diesel RxL,126000,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm
Car ID1924,Ford Endeavour 3.2 Titanium AT 4X4,120000,Automatic,Second Owner,10.91 kmpl,3198 CC,197 bhp,470Nm@ 1750-2500rpm
Car ID1925,Tata Indica Vista TDI LS,70000,Manual,First Owner,19.1 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm
Car ID1926,Mahindra TUV 300 T4 Plus,82000,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm
Car ID1927,Maruti 800 Std,110000,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm
Car ID1928,Maruti Swift Dzire VXI,45000,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm
Car ID1929,Nissan Sunny Diesel XL,70000,Manual,Second Owner,21.64 kmpl,1461 CC,84.8 bhp,200Nm@ 2000rpm
Car ID1930,Nissan Terrano XL 85 PS,80000,Manual,Second Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm
Car ID1931,Mahindra Scorpio Intelli Hybrid S6 Plus,45000,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm
Car ID1932,Hyundai EON 1.0 Era Plus,60000,Manual,First Owner,20.3 kmpl,998 CC,68.05 bhp,94.14Nm@ 3500rpm
Car ID1933,Maruti Swift VXI,41800,Manual,First Owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm
Car ID1934,Maruti Estilo LXI,132000,Manual,Second Owner,,,,
Car ID1935,Maruti Swift Dzire VDI,50000,Manual,Second Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm
Car ID1936,Ford Figo Diesel ZXI,40000,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm
Car ID1937,Maruti Wagon R LXI Minor,96000,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm
Car ID1938,Mahindra Xylo D4 BSIII,117000,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm
Car ID1939,Hyundai i10 Era,110000,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm
Car ID1940,Honda Amaze S i-Dtech,100000,Manual,Second Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm
Car ID1941,Maruti Alto LXi,88700,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1942,Nissan Sunny XL,70000,Manual,Second Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm
Car ID1943,Maruti Wagon R LX BSIII,110000,Manual,Second Owner,17.3 kmpl,1061 CC,64 bhp,"8.6@ 3,500(kgm@ rpm)"
Car ID1944,Maruti Alto 800 LXI,15000,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm
Car ID1945,Mahindra Verito 1.5 D4 BSIII,80000,Manual,Second Owner,20.8 kmpl,1461 CC,65 bhp,160Nm@ 2000rpm
Car ID1946,Maruti Ritz VXi,50000,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm
Car ID1947,Hyundai EON Sportz,15000,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm
Car ID1948,Datsun RediGO T,25000,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,72Nm@ 4386rpm
Car ID1949,Mahindra Verito 1.5 D4 BSIII,57000,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm
Car ID1950,Mahindra Bolero 2011-2019 ZLX,75000,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm
Car ID1951,Maruti Eeco 5 Seater AC BSIV,26000,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm
Car ID1952,Hyundai Xcent 1.1 CRDi S Option,160000,Manual,First Owner,24.4 kmpl,1120 CC,71.01 bhp,180.4Nm@ 1750-2500rpm
Car ID1953,Maruti Eeco 5 Seater AC BSIV,26000,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm
Car ID1954,Maruti Alto LXi BSIII,120000,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1955,Maruti Alto LXi,50000,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1956,Maruti Alto LX,40000,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
Car ID1957,Toyota Etios GD,90000,Manual,Third Owner,,,,
Car ID1958,Maruti Esteem Vxi - BSII,120000,Manual,Third Owner,,,,
Car ID1959,Honda City i VTEC V,28000,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm
Car ID1960,Maruti Swift Dzire LDI,50000,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm
Car ID1961,Maruti Ertiga ZDI,90000,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm
Car ID1962,Hyundai Verna 1.4 CRDi,40000,Manual,First Owner,24.8 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1750-2750rpm
Car ID1963,Ford Figo 1.5D Base MT,113000,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm
Car ID1964,Maruti Swift Vdi BSIII,188000,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm
Car ID1965,Ford Figo Diesel Titanium,100000,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm
Car ID1966,Tata Sumo MKII Turbo 2.0 LX,225000,Manual,Third Owner,14.0 kmpl,1948 CC,90 bhp,190Nm@ 2000-3000
Car ID1967,Mahindra TUV 300 mHAWK100 T8,67000,Manual,Second Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm
Car ID1968,Chevrolet Beat Diesel LT Option,70000,Manual,Fourth & Above Owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm
Car ID1969,Toyota Corolla Altis JS MT,50000,Manual,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm
Car ID1970,Jaguar XF 2.2 Litre Luxury,60000,Automatic,First Owner,16.36 kmpl,2179 CC,187.7 bhp,450Nm@ 2000rpm
Car ID1971,Volkswagen Ameo 1.5 TDI Comfortline AT,34000,Automatic,First Owner,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm
Car ID1972,Honda City 1.5 GXI,110000,Manual,Third Owner,12.8 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm
Car ID1973,Hyundai Santro GS zipPlus,71000,Manual,Second Owner,,,,
Car ID1974,Maruti Wagon R LXI,140000,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm
Car ID1975,Honda City Corporate Edition,100000,Manual,Second Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm
Car ID1976,Hyundai Grand i10 1.2 Kappa Sportz AT,10000,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm
Car ID1977,Maruti Celerio ZXI Optional,30000,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
Car ID1978,Audi Q3 2.0 TDI Quattro Premium Plus,22000,Automatic,First Owner,15.73 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm
Car ID1979,Honda Civic ZX Diesel BSIV,5500,Manual,First Owner,26.8 kmpl,1597 CC,118 bhp,300Nm@ 2000rpm
Car ID1980,BMW X1 sDrive20d M Sport,18000,Automatic,First Owner,19.62 kmpl,1998 CC,190 bhp,400nm@ 1750-2500rpm
Car ID1981,Toyota Innova Crysta 2.8 GX AT 8S BSIV,20000,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm
Car ID1982,Hyundai Santro Asta BSIV,7000,Manual,First Owner,20.3 kmpl,1086 CC,68 bhp,99Nm@ 4500rpm
Car ID1983,Force Gurkha Hard Top BS3 4WD,20000,Manual,First Owner,17.0 kmpl,2596 CC,80.8 bhp,230Nm@ 1800-2000rpm
Car ID1984,Maruti Celerio VXI,4875,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
Car ID1985,Hyundai Creta 1.6 CRDi AT SX Plus,2700,Automatic,First Owner,17.01 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm
Car ID1986,Maruti Vitara Brezza ZDi,58511,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
Car ID1987,Ford Figo 1.5D Titanium MT,105000,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm
Car ID1988,Mahindra Thar CRDe ABS,26235,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,247Nm@ 1800-2000rpm
Car ID1989,Tata Nexon 1.5 Revotorq XZ Plus,26766,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm
Car ID1990,MG Hector Sharp DCT Dualtone,1600,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm
Car ID1991,Mercedes-Benz New C-Class C 220 CDI Elegance MT,46000,Manual,First Owner,15.8 kmpl,2148 CC,170 bhp,"42@ 2,000(kgm@ rpm)"
Car ID1992,Mahindra Marazzo M2 BSIV,23000,Manual,First Owner,17.3 kmpl,1497 CC,121 bhp,300Nm@ 1750-2500rpm
Car ID1993,Maruti Swift VXI Optional,24522,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
Car ID1994,BMW 3 Series 320d,13663,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm
Car ID1995,Skoda Octavia Style Plus 2.0 TDI AT,11000,Automatic,First Owner,19.3 kmpl,1968 CC,141 bhp,320Nm@ 1750-3000rpm
Car ID1996,Maruti Vitara Brezza ZDi Plus,63000,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
Car ID1997,Volkswagen Polo 1.2 MPI Comfortline,2000,Manual,First Owner,16.2 kmpl,1199 CC,74 bhp,110Nm@ 3000-4300rpm
Car ID1998,Mahindra Scorpio VLX 2WD AIRBAG BSIV,300000,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm
Car ID1999,Mahindra Logan Diesel 1.5 DLE,190000,Manual,Third Owner,19.2 kmpl,1461 CC,65 bhp,"16@ 2,000(kgm@ rpm)"
Car ID2000,Honda City i DTEC E,80000,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm
Car ID2001,Honda Jazz Select Edition Active,80000,Manual,Second Owner,16.0 kmpl,1198 CC,90 bhp,110(11.2)@ 4800
Car ID2002,Maruti Alto K10 LXI,54000,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm
Car ID2003,Renault KWID 1.0 RXT Optional,30000,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm
