,manufacturer,model,year,selling_price,fuel,seller_type,mileage
1389,Hyundai,i20 Asta Option 1.4 CRDi,2016,575000,Diesel,Dealer,22.54
1390,Hyundai,Xcent 1.2 VTVT S,2017,600000,Petrol,Individual,20.14
1391,Hyundai,Verna 1.6 VTVT S Option,2015,700000,Petrol,Individual,17.01
1392,Honda,City i DTec V,2014,560000,Diesel,Dealer,26.0
1394,Mahindra,Bolero DI AC BSIII,2005,250000,Diesel,Individual,13.6
1395,Skoda,Rapid 1.6 MPI Ambition Plus,2013,409999,Petrol,Individual,15.0
1396,Nissan,Terrano XL D Option,2016,495000,Diesel,Dealer,19.87
1397,Hyundai,Elite i20 Petrol Asta,2014,470000,Petrol,Dealer,18.6
1398,Honda,Amaze S Diesel,2013,350000,Diesel,Dealer,24.7
1399,Toyota,Innova Crysta 2.4 G MT 8 STR,2020,1560000,Diesel,Dealer,13.68
1400,Honda,Jazz 1.2 S i VTEC,2015,480000,Petrol,Dealer,18.7
1401,Toyota,Etios Liva 1.4 GD,2013,270000,Diesel,Dealer,23.59
1402,Mahindra,Bolero B2,2018,660000,Diesel,Dealer,21.0
1403,Maruti,Ignis 1.2 AMT Alpha BSIV,2017,490000,Petrol,Dealer,20.89
1404,Maruti,Vitara Brezza ZDi Plus,2017,800000,Diesel,Individual,24.3
1405,Nissan,Sunny XV,2011,350000,Petrol,Individual,16.95
1406,Ford,Fiesta EXi 1.4 TDCi Ltd,2011,170000,Diesel,Individual,17.8
1407,Tata,Indica Vista Aqua 1.3 Quadrajet,2011,125000,Diesel,Individual,18.0
1408,Maruti,Swift Dzire VDi,2012,400000,Diesel,Individual,19.3
1409,Nissan,Sunny XV,2011,250000,Petrol,Individual,16.95
1410,Fiat,Linea Emotion (Diesel),2010,190000,Diesel,Individual,20.4
1411,Maruti,Alto LX,2010,125000,Petrol,Individual,19.7
1412,Jeep,Compass 2.0 Limited 4X4,2017,1950000,Diesel,Individual,16.3
1413,Audi,Q5 2.0 TDI,2011,1300000,Diesel,Individual,12.8
1414,Toyota,Innova 2.5 G4 Diesel 8-seater,2010,786000,Diesel,Individual,12.8
1415,Maruti,Wagon R VXI BS IV,2015,335000,Petrol,Individual,20.51
1416,Maruti,Wagon R LXI Minor,2009,114999,Petrol,Individual,18.9
1417,Volkswagen,Polo Diesel Comfortline 1.2L,2012,229999,Diesel,Individual,22.07
1418,Hyundai,i20 2015-2017 Asta 1.4 CRDi,2017,731000,Diesel,Individual,22.54
1419,Hyundai,Verna 1.6 SX,2012,395000,Diesel,Individual,22.32
1420,Maruti,Swift Dzire VDI,2015,500000,Diesel,Individual,26.59
1421,Hyundai,EON Era Plus,2014,220000,Petrol,Individual,21.1
1422,Ford,Figo Diesel Celebration Edition,2013,240000,Diesel,Individual,20.0
1423,Hyundai,i20 1.4 CRDi Asta,2010,215000,Diesel,Individual,23.0
1424,Maruti,Swift VDI,2012,400000,Diesel,Individual,22.9
1425,Mahindra,Xylo D4 BSIII,2013,351000,Diesel,Individual,14.0
1426,Tata,Nano XTA,2015,250000,Petrol,Individual,21.9
1427,Hyundai,Verna CRDi SX ABS,2009,210000,Diesel,Individual,18.1
1428,Toyota,Etios VX,2011,300000,Petrol,Individual,17.6
1429,Ford,Figo Aspire 1.5 TDCi Trend,2017,700000,Diesel,Individual,25.83
1430,Hyundai,Sonata CRDi M/T,2010,500000,Diesel,Individual,11.8
1431,Maruti,800 AC BSIII,2002,120000,Petrol,Individual,16.1
1432,Hyundai,Elite i20 Asta Option Diesel,2019,850000,Diesel,Individual,22.54
1434,Honda,WR-V i-DTEC VX,2017,770000,Diesel,Individual,25.5
1435,Honda,Civic 1.8 S MT,2007,245000,Petrol,Individual,13.5
1436,Maruti,Alto K10 2010-2014 VXI,2012,250000,Petrol,Individual,20.92
1437,Hyundai,i20 Active SX Diesel,2016,651000,Diesel,Dealer,21.19
1438,Honda,City V MT,2013,480000,Petrol,Dealer,16.8
1439,Maruti,Swift VDI BSIV,2015,470000,Diesel,Dealer,25.2
1440,Honda,Jazz 1.5 V i DTEC,2016,500000,Diesel,Individual,27.3
1441,BMW,X1 sDrive20d M Sport,2011,1075000,Diesel,Dealer,19.62
1442,Maruti,S-Cross 2017-2020 Delta DDiS 200 SH,2016,690000,Diesel,Dealer,25.1
1445,Maruti,Ignis 1.2 Delta BSIV,2018,480000,Petrol,Dealer,20.89
1446,Maruti,Swift ZDI Plus,2013,450000,Diesel,Dealer,28.4
1447,Maruti,Vitara Brezza VDi Option,2018,770000,Diesel,Individual,24.3
1448,Mahindra,Bolero B4,2015,445000,Diesel,Dealer,21.0
1449,Hyundai,i20 1.2 Asta Option,2018,700000,Petrol,Individual,18.6
1450,Maruti,Ertiga ZDI,2014,560000,Diesel,Individual,20.77
1451,Ford,Ecosport Sports Diesel,2013,475000,Diesel,Dealer,21.7
1452,Honda,Amaze E Diesel BSIV,2014,465000,Diesel,Dealer,27.4
1453,Maruti,Swift Dzire Tour LDI,2017,520000,Diesel,Dealer,23.4
1454,Tata,Manza Aura Safire,2011,225000,Petrol,Individual,15.0
1455,Maruti,Ertiga ZXI,2015,700000,Petrol,Individual,16.02
1456,Maruti,Vitara Brezza VDi,2017,780000,Diesel,Individual,24.3
1457,Honda,City 2017-2020 GXi,2006,93150,Petrol,Individual,17.7
1458,Mahindra,Quanto C4,2016,403000,Diesel,Individual,17.21
1459,Hyundai,i10 Era,2009,229999,Petrol,Individual,19.81
1460,Maruti,Swift Dzire VDI,2016,525000,Diesel,Individual,26.59
1461,Maruti,Ertiga VXI,2014,560000,Petrol,Individual,16.02
1462,Mahindra,XUV500 W7,2020,830000,Diesel,Individual,15.1
1463,Maruti,Ritz VDi,2011,250000,Diesel,Individual,21.1
1464,Mahindra,Bolero 2011-2019 DI - AC BS III,2014,450000,Diesel,Individual,15.96
1465,Mahindra,Scorpio 1.99 S4,2016,745000,Diesel,Individual,15.4
1466,Ford,Figo Diesel Titanium,2010,144000,Diesel,Individual,20.0
1467,Maruti,Zen Estilo 1.1 VXI BSIII,2008,120000,Petrol,Individual,18.2
1468,Tata,New Safari DICOR 2.2 EX 4x2,2008,300000,Diesel,Individual,11.57
1469,Maruti,800 DX,1999,52000,Petrol,Individual,16.1
1470,Mahindra,Scorpio 2.6 CRDe,2003,300000,Diesel,Individual,10.5
1471,Mahindra,Bolero DI DX 7 Seater,2009,270000,Diesel,Individual,13.6
1472,Chevrolet,Sail LT ABS,2014,260000,Diesel,Individual,22.1
1473,Toyota,Etios GD,2015,475000,Diesel,Individual,23.59
1474,Ford,Figo Diesel Titanium,2011,302000,Diesel,Individual,20.0
1475,Maruti,800 AC,1994,45000,Petrol,Individual,16.1
1476,Maruti,Vitara Brezza VDi Option,2017,775000,Diesel,Individual,24.3
1477,Maruti,Ertiga VDI,2015,700000,Diesel,Individual,20.77
1478,Maruti,Swift VDI BSIV,2014,530000,Diesel,Individual,25.2
1479,Tata,Nexon 1.5 Revotorq XZ Plus,2017,869999,Diesel,Individual,21.5
1480,Hyundai,Elantra CRDi,2006,155000,Diesel,Individual,14.9
1481,Tata,Tiago 1.2 Revotron XZA,2019,550000,Petrol,Individual,23.84
1482,Maruti,Swift Dzire VDI,2016,600000,Diesel,Individual,26.59
1483,Maruti,Swift Dzire VDi,2012,430000,Diesel,Individual,19.3
1484,Tata,Manza Aura (ABS) Quadrajet,2010,246000,Diesel,Individual,18.8
1485,Hyundai,i20 Asta 1.2,2014,565000,Petrol,Individual,18.6
1486,Hyundai,Elite i20 Asta Option Diesel,2018,850000,Diesel,Individual,22.54
1487,Maruti,Alto LXi BSIII,2006,160000,Petrol,Individual,19.7
1488,Fiat,Linea Classic Plus 1.3 Multijet,2014,325000,Diesel,Individual,19.5
1489,Mahindra,Scorpio VLX 2WD AIRBAG BSIV,2011,450000,Diesel,Individual,12.05
1490,Hyundai,i10 Sportz 1.1L,2015,310000,Petrol,Individual,19.81
1491,Honda,Amaze S i-Dtech,2013,250000,Diesel,Individual,25.8
1492,Maruti,Swift Dzire LDI,2015,420000,Diesel,Individual,26.59
1493,Hyundai,i20 Sportz AT 1.4,2013,330000,Petrol,Individual,15.0
1494,Maruti,Swift VXI Optional,2015,405000,Petrol,Individual,20.4
1495,Mahindra,Bolero 2011-2019 ZLX,2013,400000,Diesel,Individual,15.96
1496,Honda,City V AT,2010,409999,Petrol,Individual,15.6
1497,Mahindra,Bolero 2011-2019 SLX 2WD BSIII,2013,500000,Diesel,Individual,15.96
1498,Mahindra,XUV500 W8 4WD,2011,590000,Diesel,Individual,15.1
1500,Hyundai,i10 Era,2007,135000,Petrol,Individual,19.81
1501,Maruti,Wagon R LXI,2004,70000,Petrol,Individual,18.9
1502,Maruti,800 Std BSII,2004,45000,Petrol,Individual,16.1
1503,Maruti,Swift Dzire VDI,2018,650000,Diesel,Individual,28.4
1504,Maruti,Wagon R VXI Optional,2018,400000,Petrol,Individual,20.51
1505,Maruti,Alto K10 VXI,2017,350000,Petrol,Individual,23.95
1506,Hyundai,Grand i10 1.2 CRDi Asta,2017,550000,Diesel,Individual,24.0
1507,Maruti,Wagon R LXI Optional,2016,350000,Petrol,Individual,20.51
1508,Maruti,Swift Dzire LDI Optional,2015,459999,Diesel,Individual,26.59
1509,Maruti,Alto LXi,2012,185000,Petrol,Individual,19.7
1510,Volkswagen,Polo Diesel Highline 1.2L,2013,550000,Diesel,Individual,22.07
1511,Maruti,Wagon R Duo Lxi,2012,300000,Other,Individual,26.2
1513,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV,2011,900000,Diesel,Individual,12.8
1514,Honda,BR-V i-DTEC S MT,2016,900000,Diesel,Individual,21.9
1515,Mahindra,Bolero 2011-2019 Plus AC,2012,550000,Diesel,Individual,15.96
1516,Maruti,Baleno Zeta 1.2,2018,625000,Petrol,Individual,21.4
1517,Maruti,Alto 800 VXI,2017,310000,Petrol,Individual,24.7
1518,Maruti,Swift DDiS LDI,2017,500000,Diesel,Individual,28.4
1519,Hyundai,Grand i10 CRDi Sportz,2016,610000,Diesel,Individual,24.0
1520,Tata,Indigo CS LX (TDI) BS III,2012,150000,Diesel,Individual,19.09
1521,Hyundai,Xcent 1.1 CRDi SX Option,2015,480000,Diesel,Individual,24.4
1522,Hyundai,i20 1.2 Asta Option,2017,650000,Petrol,Individual,18.6
1523,Hyundai,i20 1.4 CRDi Magna,2012,290000,Diesel,Individual,21.9
1524,Maruti,Alto 800 LXI,2017,300000,Petrol,Individual,24.7
1525,Maruti,Swift Dzire VDi,2010,270000,Diesel,Individual,19.3
1526,Hyundai,Xcent 1.1 CRDi S,2015,400000,Diesel,Individual,24.4
1527,Maruti,Alto 800 LX,2015,280000,Petrol,Individual,22.74
1528,Maruti,Swift Dzire VXi,2009,250000,Petrol,Individual,17.5
1529,Maruti,Swift Dzire VDi,2012,495000,Diesel,Individual,19.3
1530,Ford,Endeavour 3.2 Titanium AT 4X4,2018,3250000,Diesel,Individual,10.91
1531,Honda,Amaze V Petrol BSIV,2019,700000,Petrol,Individual,19.5
1532,Tata,Indigo eCS VX BSIV,2013,310000,Diesel,Individual,25.0
1533,Renault,Duster 85PS Diesel RxE,2017,650000,Diesel,Individual,19.87
1534,Honda,Jazz 1.2 V AT i VTEC,2015,600000,Petrol,Individual,19.0
1535,Tata,New Safari DICOR 2.2 EX 4x2,2009,150000,Diesel,Individual,11.57
1536,Mahindra,Renault Logan 1.4 GLX Petrol,2009,135000,Petrol,Individual,15.7
1537,Maruti,Swift Dzire VDI,2014,650000,Diesel,Individual,23.4
1538,Honda,City V MT,2012,550000,Petrol,Individual,16.8
1539,Maruti,Swift Dzire VDI,2017,650000,Diesel,Individual,28.4
1540,Toyota,Fortuner 2.8 2WD AT BSIV,2018,2900000,Diesel,Individual,12.9
1541,Honda,Brio 1.2 VX MT,2017,450000,Petrol,Individual,18.5
1542,Maruti,Ciaz VXi Plus,2015,650000,Petrol,Individual,20.73
1543,Hyundai,Grand i10 1.2 Kappa Era,2017,430000,Petrol,Individual,17.0
1544,Hyundai,Creta 1.6 CRDi AT S Plus,2017,1143000,Diesel,Individual,17.01
1545,Maruti,Swift AMT ZXI Plus BSIV,2019,700000,Petrol,Individual,22.0
1546,Maruti,Ritz VXi,2011,229999,Petrol,Individual,18.5
1547,Mahindra,TUV 300 T4,2017,509999,Diesel,Individual,18.49
1548,Ford,EcoSport 1.5 Ti VCT MT Trend BSIV,2016,670000,Petrol,Individual,15.85
1549,Tata,Tiago 1.2 Revotron XZA,2019,525000,Petrol,Individual,23.84
1550,Renault,Duster 85PS Diesel RxE,2016,515000,Diesel,Individual,19.87
1551,Maruti,Baleno Delta,2020,630000,Petrol,Individual,21.01
1552,Datsun,RediGO A,2019,270000,Petrol,Individual,22.7
1553,Maruti,Alto 800 LXI,2016,300000,Petrol,Individual,22.74
1554,Mahindra,Xylo D2 BSIV,2012,250000,Diesel,Individual,14.0
1555,Maruti,Alto LX,2005,90000,Petrol,Individual,19.7
1556,Maruti,Ertiga SHVS ZDI Plus,2017,750000,Diesel,Individual,24.52
1557,Maruti,Wagon R LXI Minor,2009,135000,Petrol,Individual,18.9
1558,Maruti,Eeco Smiles 5 Seater AC,2013,275000,Petrol,Individual,15.1
1559,Tata,Nexon 1.2 Revotron XM,2018,740000,Petrol,Individual,17.0
1560,Honda,Amaze S i-VTEC,2019,690000,Petrol,Dealer,17.8
1561,Audi,Q5 35TDI Premium Plus,2018,3975000,Diesel,Dealer,17.01
1562,Lexus,ES 300h,2019,5150000,Petrol,Dealer,22.37
1563,Jaguar,XF 2.0 Diesel Portfolio,2017,3200000,Diesel,Dealer,19.33
1564,Jeep,Wrangler 2016-2019 3.6 4X4,2017,4100000,Petrol,Individual,9.5
1565,Toyota,Yaris V BSIV,2018,1000000,Petrol,Trustmark Dealer,17.1
1566,Toyota,Yaris V BSIV,2018,1000000,Petrol,Trustmark Dealer,17.1
1567,Hyundai,Grand i10 Nios Sportz,2019,550000,Petrol,Trustmark Dealer,20.7
1568,Maruti,Baleno Alpha,2016,600000,Petrol,Trustmark Dealer,21.01
1569,Skoda,Rapid 1.6 MPI AT Style Plus,2016,675000,Petrol,Trustmark Dealer,14.3
1570,Nissan,Kicks XV BSIV,2019,950000,Petrol,Trustmark Dealer,14.23
1571,Honda,City i VTEC V,2017,850000,Petrol,Trustmark Dealer,17.8
1572,Toyota,Camry 2.5 Hybrid,2016,2000000,Petrol,Trustmark Dealer,19.16
1573,Toyota,Corolla Altis 1.8 VL AT,2012,550000,Petrol,Trustmark Dealer,14.53
1574,Maruti,Ciaz 1.3 Alpha,2018,925000,Diesel,Trustmark Dealer,28.09
1575,Ford,Ecosport 1.5 Ti VCT AT Titanium,2015,625000,Petrol,Trustmark Dealer,16.5
1576,Maruti,Alto 800 LXI,2014,200000,Petrol,Dealer,22.74
1577,Honda,City i VTEC CVT VX,2014,635000,Petrol,Trustmark Dealer,18.0
1578,Honda,Jazz VX,2016,550000,Petrol,Trustmark Dealer,18.2
1579,Maruti,SX4 VDI,2014,425000,Diesel,Individual,21.79
1580,Maruti,Wagon R VXI BS IV,2011,220000,Petrol,Individual,18.9
1581,Hyundai,Grand i10 1.2 Kappa Asta,2018,590000,Petrol,Individual,18.9
1582,Mahindra,Thar CRDe,2017,775000,Diesel,Individual,16.55
1583,Maruti,Ritz VXi,2015,350000,Petrol,Individual,18.5
1584,Maruti,Baleno Delta 1.2,2018,575000,Petrol,Individual,21.4
1585,Nissan,Micra XL,2011,200000,Petrol,Individual,18.06
1586,Tata,Hexa XT,2018,1575000,Diesel,Individual,17.6
1587,Ford,EcoSport 1.5 TDCi Titanium BSIV,2015,600000,Diesel,Individual,22.77
1588,Mahindra,Bolero 2011-2019 ZLX BSIII,2016,720000,Diesel,Individual,15.96
1589,Tata,Indigo eCS LS TDI BSIII,2012,158000,Diesel,Individual,19.09
1590,Tata,Hexa XT,2018,1575000,Diesel,Individual,17.6
1591,Hyundai,Xcent 1.2 VTVT S AT,2017,580000,Petrol,Individual,17.36
1592,Mahindra,Bolero 2011-2019 SLX,2012,420000,Diesel,Individual,15.96
1593,Mahindra,Marazzo M6 8Str,2018,1200000,Diesel,Individual,17.3
1594,Renault,KWID 1.0 RXT Optional,2018,350000,Petrol,Individual,23.01
1595,Honda,City i VTEC VX,2014,650000,Petrol,Individual,17.4
1596,Maruti,Wagon R VXI BS IV,2017,400000,Petrol,Individual,20.51
1597,Tata,Nexon 1.5 Revotorq XM,2018,700000,Diesel,Individual,21.5
1598,Hyundai,Xcent 1.2 Kappa SX,2017,520000,Petrol,Individual,19.1
1599,Mahindra,Scorpio LX BSIV,2012,450000,Diesel,Individual,12.05
1600,Tata,Safari Storme EX,2017,850000,Diesel,Individual,14.1
1601,Renault,KWID RXT,2017,350000,Petrol,Individual,25.17
1602,Mahindra,Xylo D2,2011,450000,Diesel,Individual,13.0
1604,Hyundai,i10 Era,2008,165000,Petrol,Individual,19.81
1605,Hyundai,Santro Xing GLS,2010,160000,Petrol,Individual,17.92
1606,Tata,New Safari DICOR 2.2 EX 4x4,2011,300000,Diesel,Individual,13.93
1607,Mahindra,Scorpio VLX 2WD BSIV,2012,550000,Diesel,Individual,12.05
1608,Maruti,Alto K10 VXI,2015,285000,Petrol,Individual,23.95
1609,Hyundai,Creta 1.6 CRDi SX,2016,850000,Diesel,Individual,19.67
1610,Ford,Freestyle Titanium Petrol BSIV,2018,700000,Petrol,Individual,19.0
1611,Maruti,Ertiga ZXI Plus Petrol,2018,900000,Petrol,Individual,19.34
1612,Maruti,Alto LXi BSIII,2005,180000,Petrol,Individual,19.7
1613,Hyundai,EON D Lite Plus Option,2016,220000,Petrol,Individual,21.1
1614,Tata,Indica Vista Quadrajet LS,2013,120000,Diesel,Individual,22.3
1615,Hyundai,i20 Asta Optional With Sunroof 1.2,2010,220000,Petrol,Individual,17.0
1616,Chevrolet,Sail Hatchback LS ABS,2013,420000,Diesel,Individual,22.1
1617,Tata,Indica Vista TDI LS,2013,160000,Diesel,Individual,19.4
1618,Hyundai,EON Era Plus,2015,250000,Petrol,Individual,21.1
1619,Maruti,Ertiga ZDI,2013,385000,Diesel,Individual,20.77
1620,Maruti,Wagon R VXI BS IV with ABS,2014,318000,Petrol,Individual,20.51
1621,Hyundai,Xcent 1.2 VTVT S,2018,480000,Petrol,Individual,20.14
1622,Maruti,Celerio VXI,2015,330000,Petrol,Individual,23.1
1623,Tata,Indica Vista Aqua 1.4 TDI,2011,152000,Diesel,Individual,17.0
1624,Maruti,Alto 800 LXI,2014,250000,Petrol,Individual,22.74
1625,Tata,Indica Vista Aqua 1.4 TDI,2011,248000,Diesel,Individual,17.0
1626,Nissan,Micra XV,2011,300000,Petrol,Individual,18.06
1627,Hyundai,i20 1.2 Spotz,2017,550000,Petrol,Individual,18.6
1628,Hyundai,i20 Sportz 1.4 CRDi,2016,650000,Diesel,Individual,22.54
1629,Hyundai,Grand i10 Magna,2017,445000,Petrol,Individual,18.9
1630,Toyota,Innova 2.5 V Diesel 7-seater,2010,450000,Diesel,Individual,12.8
1631,Mahindra,NuvoSport N8,2016,600000,Diesel,Individual,17.45
1632,Renault,Duster Adventure Edition,2014,495000,Diesel,Individual,19.01
1633,Maruti,SX4 ZXI AT,2011,220000,Petrol,Individual,12.6
1634,Maruti,SX4 ZXI AT,2011,260000,Petrol,Individual,12.6
1635,Hyundai,Santro Xing GLS,2009,150000,Petrol,Individual,17.92
1636,Ford,Figo Diesel Titanium,2011,200000,Diesel,Individual,20.0
1637,Mahindra,Scorpio S11 BSIV,2018,1465000,Diesel,Individual,16.36
1639,Honda,Civic Hybrid,2008,250000,Petrol,Individual,20.0
1640,Mahindra,Xylo D4,2014,310000,Diesel,Individual,14.95
1641,Mahindra,Scorpio VLX 4WD AIRBAG AT BSIV,2010,600000,Diesel,Individual,11.79
1642,Maruti,Baleno Delta 1.2,2018,560000,Petrol,Individual,21.4
1643,Maruti,Swift Dzire VXI,2016,500000,Petrol,Individual,20.85
1644,Hyundai,Grand i10 CRDi Asta Option,2013,270000,Diesel,Individual,24.0
1645,Hyundai,Verna 1.6 SX,2013,420000,Diesel,Individual,22.32
1646,Maruti,Swift Dzire LXI,2015,434999,Petrol,Individual,20.85
1647,Hyundai,Xcent 1.2 Kappa AT S Option,2015,400000,Petrol,Individual,16.9
1648,Maruti,Swift Dzire VDI,2015,470000,Diesel,Individual,26.59
1649,Nissan,Terrano XL 85 PS,2015,480000,Diesel,Individual,20.45
1650,Hyundai,Santro Xing GL,2008,105000,Petrol,Individual,0.0
1651,Tata,Tiago 1.05 Revotorq XE,2017,325000,Diesel,Individual,27.28
1653,Hyundai,Grand i10 Nios AMT Sportz,2020,675000,Petrol,Individual,20.7
1654,Hyundai,i10 Sportz Option,2009,170000,Petrol,Individual,20.36
1655,Hyundai,Creta 1.6 CRDi SX Option,2017,1250000,Diesel,Individual,19.67
1656,Honda,Accord 2.4 M/T,2012,600000,Petrol,Individual,12.8
1657,Honda,City i DTEC VX,2014,819999,Diesel,Individual,25.1
1658,Hyundai,i20 2015-2017 Asta Option 1.2,2016,650000,Petrol,Individual,18.6
1659,Maruti,Wagon R LXI DUO BSIII,2007,105000,Other,Individual,17.3
1660,Mahindra,Renault Logan 1.5 Diesel DLSX,2009,200000,Diesel,Individual,17.0
1661,Tata,Indigo CS LX (TDI) BS III,2013,200000,Diesel,Individual,19.09
1662,Maruti,Omni E MPI STD BS IV,2016,220000,Petrol,Individual,16.8
1663,Volkswagen,Vento 1.6 Highline,2014,500000,Petrol,Individual,15.04
1664,Mahindra,Renault Logan 1.5 DLX Diesel,2007,175000,Diesel,Individual,19.2
1665,Tata,Tiago 1.2 Revotron XZ,2018,450000,Petrol,Individual,23.84
1666,Chevrolet,Optra Magnum 2.0 LT,2008,210000,Diesel,Individual,16.52
1667,Maruti,Ritz VDi,2011,270000,Diesel,Individual,21.1
1668,Tata,Indica V2 DLS TC,2006,110000,Diesel,Individual,16.8
1669,Maruti,Swift Dzire VDI,2015,480000,Diesel,Individual,26.59
1670,Maruti,Swift Dzire AMT ZDI,2016,650000,Diesel,Individual,26.59
1671,Maruti,Swift Dzire VDI,2013,480000,Diesel,Individual,23.4
1672,Hyundai,i20 Asta Option 1.4 CRDi,2016,700000,Diesel,Individual,22.54
1673,Maruti,Ertiga VDI,2015,650000,Diesel,Individual,20.77
1674,Hyundai,Creta 1.6 CRDi SX Plus Dual Tone,2015,1300000,Diesel,Individual,19.67
1675,Volkswagen,Jetta 2.0L TDI Highline AT,2016,1350000,Diesel,Individual,16.96
1676,Volkswagen,Vento 1.5 TDI Highline AT,2016,1000000,Diesel,Individual,22.15
1677,Mercedes-Benz,M-Class ML 350 4Matic,2011,1700000,Diesel,Individual,0.0
1678,Toyota,Yaris V CVT BSIV,2018,1080000,Petrol,Individual,17.8
1679,Hyundai,EON D Lite,2012,170000,Petrol,Individual,21.1
1680,Maruti,Swift DDiS VDI,2017,610000,Diesel,Individual,28.4
1681,Maruti,Ritz VXi,2014,350000,Petrol,Individual,18.5
1682,Maruti,Alto 800 LXI,2016,260000,Petrol,Individual,22.74
1683,Fiat,Linea 1.3 Multijet Emotion,2015,700000,Diesel,Individual,20.4
1684,Volkswagen,Polo 2015-2019 1.0 MPI Highline Plus,2018,678000,Petrol,Individual,18.78
1685,Maruti,SX4 S Cross 2015-2017 DDiS 200 Zeta,2015,800000,Diesel,Individual,23.65
1686,Toyota,Etios GD,2014,400000,Diesel,Individual,23.59
1687,Hyundai,i20 Magna,2010,300000,Petrol,Individual,18.5
1688,Hyundai,i20 2015-2017 Magna 1.2,2016,520000,Petrol,Individual,18.6
1689,Nissan,Terrano XV D Premium AMT,2017,850000,Diesel,Individual,19.61
1690,Mahindra,Marazzo M8,2019,1460000,Diesel,Individual,17.3
1691,Tata,Nexon 1.5 Revotorq XZ Plus,2017,830000,Diesel,Individual,21.5
1692,Datsun,GO T Option BSIV,2018,430000,Petrol,Individual,20.63
1693,Ford,EcoSport 1.5 TDCi Platinum Edition BSIV,2017,850000,Diesel,Individual,22.77
1694,Maruti,Swift Dzire ZXI,2017,650000,Petrol,Individual,20.85
1695,Hyundai,Verna CRDi,2008,120000,Diesel,Individual,16.8
1696,Mahindra,TUV 300 T8,2016,730000,Diesel,Individual,18.49
1697,Maruti,Ignis 1.2 AMT Delta BSIV,2019,525000,Petrol,Individual,20.89
1698,Hyundai,i20 Active 1.4 SX,2015,600000,Diesel,Individual,21.19
1699,Maruti,Swift LXI,2019,500000,Petrol,Individual,21.21
1700,Hyundai,Santro Xing GLS,2009,150000,Petrol,Individual,17.92
1701,Maruti,Wagon R VXI BS IV,2015,409999,Petrol,Individual,20.51
1702,Mahindra,TUV 300 T8,2016,625000,Diesel,Individual,18.49
1703,Renault,KWID RXT,2015,290000,Petrol,Individual,25.17
1704,Honda,Mobilio V i VTEC,2015,500000,Petrol,Individual,17.3
1705,Hyundai,Verna 1.6 SX,2011,475000,Diesel,Individual,22.32
1706,Hyundai,EON Era Plus,2013,190000,Petrol,Individual,21.1
1707,Mahindra,XUV500 W6 2WD,2014,750000,Diesel,Individual,15.1
1708,Nissan,Terrano XV 110 PS,2014,525000,Diesel,Individual,19.01
1709,Chevrolet,Cruze LTZ,2012,495000,Diesel,Individual,17.3
1710,Jaguar,XE 2016-2019 2.0L Diesel Prestige,2017,2625000,Diesel,Dealer,13.6
1711,Lexus,ES 300h,2019,5150000,Petrol,Dealer,22.37
1712,Jaguar,XF 2.0 Diesel Portfolio,2017,3200000,Diesel,Dealer,19.33
1713,Tata,Safari Storme EX,2015,503000,Diesel,Individual,14.1
1714,Volvo,XC40 D4 Inscription BSIV,2019,3800000,Diesel,Individual,18.0
1715,Toyota,Camry 2.5 Hybrid,2016,2000000,Petrol,Trustmark Dealer,19.16
1716,Maruti,Wagon R LXI,2013,225000,Petrol,Trustmark Dealer,21.79
1717,Maruti,Baleno Alpha 1.3,2018,740000,Diesel,Dealer,27.39
1718,Honda,Jazz VX,2016,550000,Petrol,Trustmark Dealer,18.2
1719,Toyota,Innova 2.5 VX (Diesel) 7 Seater,2013,750000,Diesel,Trustmark Dealer,12.99
1720,Maruti,Swift AMT VVT VXI,2019,650000,Petrol,Trustmark Dealer,22.0
1722,Toyota,Etios VX,2017,625000,Petrol,Trustmark Dealer,16.78
1723,Maruti,Swift AMT ZXI,2018,600000,Petrol,Dealer,22.0
1724,Hyundai,Grand i10 1.2 CRDi Sportz,2017,450000,Diesel,Dealer,24.0
1725,BMW,X4 M Sport X xDrive20d,2019,5400000,Diesel,Dealer,16.78
1726,BMW,X4 M Sport X xDrive20d,2019,5500000,Diesel,Dealer,16.78
1727,Honda,Amaze V CVT Petrol BSIV,2019,779000,Petrol,Trustmark Dealer,19.0
1728,Skoda,Rapid 1.6 MPI AT Elegance,2016,645000,Petrol,Dealer,14.3
1729,Volvo,V40 D3 R-Design,2018,2475000,Diesel,Dealer,16.8
1730,Honda,City 1.5 V AT,2010,321000,Petrol,Individual,16.8
1731,Toyota,Etios Liva 1.2 V Dual Tone,2017,585000,Petrol,Individual,17.71
1732,Ford,Figo Diesel EXI,2011,225000,Diesel,Individual,20.0
1733,Honda,Amaze E i-DTEC,2017,500000,Diesel,Individual,25.8
1734,Hyundai,i20 1.4 CRDi Asta,2011,350000,Diesel,Individual,23.0
1735,Maruti,Ertiga SHVS LDI Option,2016,756000,Diesel,Individual,24.52
1736,Maruti,Alto 800 VXI,2014,240000,Petrol,Individual,22.74
1737,Maruti,Omni 8 Seater BSII,2012,80000,Petrol,Individual,19.7
1738,Hyundai,i20 Active S Petrol,2019,800000,Petrol,Individual,17.19
1739,Tata,Hexa XE,2018,1250000,Diesel,Individual,17.6
